Brewery,Address,zipcode,PhoneNumber,YelpRating,NumReviews,lat,lng,url,PopDensity,Population Density,LANDSQMI,MedianIncome,Median Income
Honky Tonk Brewing,"240 Cumberland Bend, Nashville, TN 37228",37228,-11126,4.5,13,36.19453329,-86.7885275,https://www.yelp.com/biz/honky-tonk-brewing-nashville?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,788,1.5,15,15286
Ghost River Brewing,"827 S Main St, Memphis, TN 38106",38106,-1265,4.5,13,35.12504,-90.05951,https://www.yelp.com/biz/ghost-river-brewing-memphis?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1050,25.9,22,22374
Ambacht Brewing,"1060 NE 25th Ave, Hillsboro, OR 97124",97124,-2730,4.5,13,45.53261084,-122.9563777,https://www.yelp.com/biz/ambacht-brewing-hillsboro-2?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1122,43.1,70,69724
Canteen Taproom,"417 Tramway Blvd NE, Albuquerque, NM 87123",87123,-3048,4.5,13,35.07323,-106.49694,https://www.yelp.com/biz/canteen-taproom-albuquerque?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1198,34.6,44,44159
Twisted Vine Brewery,"3320 Westown Pkwy, West Des Moines, IA 50266",50266,-4174,4.5,13,41.5939969,-93.7492786,https://www.yelp.com/biz/twisted-vine-brewery-west-des-moines?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1430,16.5,75,75144
Schoolhouse Beer And Brewing,"800 Whitlock Ave, Marietta, GA 30064",30064,-6377,4.5,13,33.95300019,-84.57648221,https://www.yelp.com/biz/schoolhouse-beer-and-brewing-marietta?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1446,31.9,75,74603
Mash & Hops,"168 1st St, Cleveland, TN 37311",37311,-10334,5,12,35.15892,-84.87409,https://www.yelp.com/biz/mash-and-hops-cleveland?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,508,53.9,28,28410
Lost Tavern Brewing,"782 Main St, Hellertown, PA 18055",18055,-5314,5,12,40.58091,-75.34129,https://www.yelp.com/biz/lost-tavern-brewing-hellertown?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,550,21.4,61,61265
Beaver Brewing Company,"1820 7th Ave, Beaver Falls, PA 15010",15010,NA,3.5,12,40.7591034,-80.3189535,https://www.yelp.com/biz/beaver-brewing-company-beaver-falls?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,568,50,48,47993
Third Monk Brewing Company,"228 S Lafayette St, South Lyon, MI 48178",48178,-6891,4.5,12,42.4622686,-83.6513698,https://www.yelp.com/biz/third-monk-brewing-company-south-lyon?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,579,50.7,72,72091
